Age,Gender,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
39,Female,110034,603,25628,Home,Self-employed,1,Good,0.372344413,172499,2,Braymouth,CA,Bangladesh,4,2,High
36,Male,78215,695,10749,Business,Self-employed,14,Fair,0.362473775,241502,2,Rebeccafort,PR,Guernsey,3,0,Low
41,Male,112141,600,25709,Personal,Unemployed,18,Excellent,0.227739566,25925,0,New Christopher,IN,Finland,2,1,Low
19,Female,43233,786,17390,Home,Self-employed,13,Excellent,0.579866469,25118,1,Williamshaven,NE,Algeria,2,0,Low
35,Male,27111,649,41890,Home,Unemployed,6,Good,0.173848282,185663,3,Port Michael,CA,Haiti,4,2,Low
54,Male,92358,739,33855,Personal,Employed,12,Poor,0.389315959,55174,0,Garciaton,NH,Lesotho,0,2,Low
41,Non-binary,108247,785,29726,Business,Employed,5,Excellent,0.192441636,260545,4,Port Michele,UT,Sudan,2,2,High
43,Non-binary,25804,702,47656,Personal,Unemployed,15,Good,0.526095377,132509,,Thomasside,SD,Romania,3,0,High
56,Female,46641,754,5013,Auto,Unemployed,17,Good,0.407497689,132531,4,Zacharyland,MI,Senegal,4,1,Medium
48,Female,78791,688,29614,Home,Employed,2,Fair,0.351818134,43311,2,New Ryan,WY,Iran,2,0,Low
28,Non-binary,97482,636,23921,Home,Unemployed,18,Excellent,0.441890875,244995,2,Port Jeremy,MT,French Southern Territories,4,0,Medium
55,Male,75773,785,22792,Auto,Employed,1,Fair,0.472429236,287626,4,New Joshua,MS,Wallis and Futuna,1,2,Low
35,Non-binary,61280,697,47970,Home,Unemployed,2,Fair,0.580705052,285445,,Woodfort,DE,Niue,0,2,High
54,Non-binary,71331,711,21590,Home,Employed,12,Poor,0.143885266,55504,,New Peterstad,OH,Russian Federation,,0,Medium
30,Female,29678,682,15334,Auto,Employed,12,Excellent,0.362714152,185715,0,Shaneville,VI,Antigua and Barbuda,0,1,Low
69,Non-binary,88773,615,6976,Home,Unemployed,3,Excellent,0.473649241,182043,,North Larryside,AS,Cyprus,,0,Medium
57,Female,31573,772,20706,Business,Employed,9,Excellent,0.382676536,34614,2,East Edward,NV,Tunisia,0,1,Low
38,Male,66479,747,31154,Home,Unemployed,5,Good,0.383494152,233374,3,Griffinport,PA,Christmas Island,2,0,Medium
33,Non-binary,37507,703,15250,Auto,Self-employed,12,Poor,0.244136507,197818,2,West Kimberlymouth,KY,Venezuela,2,0,Low
53,Male,25731,766,15311,Business,Self-employed,11,Fair,0.534049431,266677,0,West Holly,NV,Spain,3,1,High
69,Male,88380,691,37922,Home,Employed,12,Excellent,0.247305317,292423,2,North Jaredfurt,UT,French Southern Territories,,2,Medium
62,Female,108669,700,44119,Business,Employed,18,Poor,0.458296334,47780,4,East Ronald,VI,Croatia,1,2,Medium
22,Non-binary,53193,608,45677,Personal,Self-employed,8,Poor,0.318318948,169713,2,Austinfurt,WA,Kuwait,2,1,Low
34,Non-binary,117169,751,17798,Auto,Employed,12,Excellent,0.570161915,212902,,Morganton,AZ,Faroe Islands,,1,Low
21,Female,38318,626,34930,Auto,Employed,6,Poor,0.291102505,203827,1,Port Michael,WI,Ukraine,0,2,Low
28,Male,91442,657,19432,Auto,Employed,0,Excellent,0.302943883,185445,1,Smithport,SD,New Zealand,3,1,Low
69,Male,36551,661,44352,Business,Employed,13,Fair,0.510054307,258875,2,Lake Alisonburgh,MA,Israel,4,1,High
60,Male,79269,634,30572,Personal,Unemployed,17,Poor,0.181942036,52325,1,East Dennisport,VT,Serbia,3,0,Medium
23,Male,98701,656,5877,Home,Unemployed,18,Fair,0.512767022,177047,1,Rayberg,DE,Yemen,3,1,Medium
65,Male,76776,691,8391,Home,Unemployed,12,Fair,0.485210369,152467,,South Thomas,IL,Ethiopia,1,2,Medium
31,Male,105425,666,39707,Business,Unemployed,1,Good,0.483870223,219518,3,Robertsonmouth,PA,Saint Barthelemy,2,0,Medium
34,Male,50881,649,34590,Auto,Unemployed,3,Poor,0.490055508,224147,,Madisonview,DC,Maldives,,0,Low
56,Female,107778,665,43887,Home,Self-employed,6,Poor,0.33315761,66883,1,Michaelfort,WV,China,4,1,Low
30,Non-binary,54103,612,35793,Home,Self-employed,10,Fair,0.325772942,268533,,Tommyberg,CO,Bhutan,1,0,Low
63,Non-binary,57827,730,40942,Business,Employed,16,Fair,0.51629301,114198,2,Sydneyberg,FM,Pakistan,4,2,Low
38,Female,39521,674,22467,Auto,Employed,13,Fair,0.283109919,174523,3,Davidborough,WY,Mongolia,0,2,Low
38,Female,62481,738,27425,Auto,Self-employed,2,Good,0.341516601,125645,,Jenniferborough,ID,Sierra Leone,1,1,Medium
29,Non-binary,113005,697,10629,Personal,Self-employed,3,Poor,0.528772938,218391,4,West Alecside,HI,Uzbekistan,0,1,Low
31,Female,37430,609,17839,Home,Unemployed,14,Fair,0.231430803,267941,2,Tammymouth,WV,Benin,1,2,Low
60,Male,77352,602,22673,Personal,Self-employed,13,Good,0.19148546,69476,4,Port Alexanderstad,TX,Kyrgyz Republic,,0,Medium
62,Non-binary,23846,623,29831,Personal,Employed,4,Fair,0.535636759,227918,4,Timothyport,FM,Benin,0,1,Low
24,Non-binary,31091,788,25880,Personal,Self-employed,15,Good,0.339002758,162996,0,Carrtown,MD,Western Sahara,0,2,Low
32,Non-binary,88606,683,25894,Business,Unemployed,5,Poor,0.448162195,24768,4,West Suzanneside,AZ,Iran,3,2,Medium
69,Non-binary,33686,698,47501,Business,Employed,5,Poor,0.14507013,216923,4,South Daniel,IN,China,2,2,Low
34,Non-binary,92495,691,30947,Personal,Unemployed,18,Excellent,0.271468382,58075,4,North Johnborough,MD,Papua New Guinea,4,1,Low
20,Female,55388,678,27280,Business,Employed,13,Excellent,0.534336856,73829,4,New Allenborough,VI,Jersey,0,2,Medium
22,Female,36225,790,47148,Home,Employed,15,Good,0.223225778,158530,1,Lake Karen,MP,Zimbabwe,0,2,Low
30,Male,104624,633,40183,Personal,Employed,11,Fair,0.101865457,171342,0,Craigport,KS,British Virgin Islands,3,0,Medium
61,Non-binary,69250,723,32682,Business,Unemployed,10,Fair,0.542622307,29359,4,Port Andreahaven,FM,Montserrat,2,2,Low
38,Male,76843,748,7970,Business,Self-employed,19,Fair,0.206054965,207297,2,Matthewville,NV,Trinidad and Tobago,4,1,Medium
27,Non-binary,77331,778,6952,Business,Unemployed,1,Poor,0.260177328,214296,0,South Justin,ND,Argentina,,1,Low
55,Male,53339,794,35311,Personal,Unemployed,7,Fair,0.139595336,47655,1,New Davidview,WY,Colombia,0,1,Low
25,Male,28463,736,34181,Business,Employed,9,Excellent,0.579517812,165945,1,Hansonmouth,NJ,Marshall Islands,3,1,Low
33,Female,118983,694,42879,Business,Unemployed,3,Excellent,0.429113698,169205,1,Charlottemouth,AK,Sudan,0,0,Low
29,Non-binary,115603,714,43809,Auto,Self-employed,13,Excellent,0.176197813,250967,4,Sotostad,VI,Guinea-Bissau,1,1,Low
55,Male,30224,677,43924,Auto,Unemployed,8,Fair,0.388281116,297804,,West Emily,PW,Cayman Islands,,2,Low
21,Male,82694,662,21519,Home,Unemployed,9,Fair,0.377134253,40833,0,Lake Davidville,PA,Armenia,2,0,Medium
61,Female,32247,790,45043,Business,Unemployed,10,Fair,0.440211849,195448,3,Jodystad,IL,Montserrat,,0,Low
39,Female,66007,723,19307,Home,Self-employed,15,Excellent,0.437240462,184100,1,Robertberg,MP,Burundi,1,1,Medium
52,Male,96089,622,49088,Home,Unemployed,2,Fair,0.110019197,77533,4,New Desiree,AS,Bangladesh,2,1,Medium
46,Non-binary,119821,766,22013,Personal,Self-employed,0,Excellent,0.354321919,203383,2,Jenniferberg,OH,Brazil,,0,Low
28,Non-binary,43395,742,10913,Personal,Employed,8,Good,0.211460453,134527,2,Alanfurt,MN,Ecuador,2,0,Low
59,Non-binary,97233,774,40763,Personal,Employed,4,Poor,0.473631204,116396,4,Troychester,VA,Georgia,0,2,Low
25,Non-binary,115373,643,46216,Auto,Employed,15,Good,0.178900693,110853,3,Brandonland,MD,Singapore,4,2,Medium
43,Female,55548,612,24208,Personal,Employed,6,Poor,0.119825849,246699,4,Jonesville,NC,Belize,,2,Low
62,Non-binary,40948,676,37593,Home,Unemployed,16,Fair,0.400820667,200186,4,East Kevin,OH,Cocos (Keeling) Islands,1,1,Medium
55,Male,25833,736,40477,Personal,Self-employed,6,Good,0.459518392,87514,4,Lowerychester,AR,Sierra Leone,3,0,Low
24,Non-binary,73462,756,49504,Business,Unemployed,13,Excellent,0.258307739,292857,4,Port Annmouth,NM,Iceland,3,1,Medium
43,Female,50011,685,42261,Personal,Employed,18,Fair,0.125915154,143489,4,New John,HI,Svalbard & Jan Mayen Islands,0,1,Low
53,Non-binary,112782,728,12565,Home,Self-employed,18,Excellent,0.240283879,221694,4,Tannerview,WY,Norway,,1,Medium
47,Male,46245,658,29117,Business,Unemployed,4,Poor,0.497033786,198807,2,Vargasfort,MS,Kenya,0,2,Low
20,Male,116576,661,31838,Personal,Self-employed,14,Poor,0.203051316,286754,4,Martinport,OR,Lesotho,1,0,Low
20,Male,24554,737,18107,Business,Employed,6,Fair,0.134841293,43603,2,South Paul,ND,Cote d'Ivoire,0,1,High
23,Male,99056,623,25500,Business,Unemployed,10,Good,0.162316906,143112,2,Thomasport,NM,Antarctica (the territory South of 60 deg S),2,2,Low
39,Male,35154,613,9824,Home,Self-employed,14,Poor,0.548313168,284754,2,Ryanton,WA,Senegal,1,2,Low
37,Male,49677,767,40692,Personal,Self-employed,9,Fair,0.568906125,128373,3,Port Anthonyborough,ID,United States Virgin Islands,1,0,Medium
32,Non-binary,60584,792,37736,Business,Employed,9,Poor,0.315447543,111544,,Port Bryan,VT,Thailand,0,0,Medium
49,Female,34962,644,34884,Auto,Unemployed,1,Fair,0.27400976,145700,,South Brian,CT,Somalia,4,0,Low
19,Female,97125,791,41214,Auto,Employed,5,Good,0.235876376,233060,1,Charlesfurt,IN,Romania,1,1,Medium
44,Male,61941,657,13992,Business,Employed,0,Fair,0.410312861,206751,,Port Sarahberg,MT,Indonesia,2,2,High
58,Female,79683,605,29300,Auto,Self-employed,14,Good,0.200562147,141977,2,Stephenhaven,OR,Greece,,0,Low
34,Female,70756,663,13499,Home,Self-employed,18,Poor,0.378353184,135194,1,Burtontown,AL,Nepal,2,1,Medium
61,Female,107486,744,15497,Business,Self-employed,16,Poor,0.345019416,294396,0,West Donald,WY,Mozambique,4,1,Low
40,Non-binary,44647,735,27632,Personal,Self-employed,17,Poor,0.127437366,288958,3,Brownborough,GA,Zimbabwe,0,1,Low
56,Non-binary,83089,744,48868,Business,Unemployed,17,Poor,0.412097591,270483,3,Summersborough,NC,Sierra Leone,4,1,Medium
34,Female,90487,623,48478,Auto,Self-employed,13,Poor,0.37795377,212532,,Lake Karafurt,PR,Ecuador,0,2,Medium
44,Non-binary,36167,622,25790,Home,Unemployed,1,Excellent,0.427968609,43847,4,Staffordside,MO,Paraguay,4,2,Low
51,Non-binary,29179,651,5606,Business,Self-employed,14,Excellent,0.431211707,246520,1,South Melissa,DE,Norfolk Island,1,2,Low
18,Non-binary,97090,631,42140,Home,Employed,17,Good,0.127779531,180149,,West Stephen,NE,Montserrat,3,1,Medium
41,Non-binary,47313,755,18830,Personal,Unemployed,0,Good,0.398979728,32946,4,Mcdanielside,LA,Ukraine,2,0,Low
57,Male,92561,760,5171,Home,Unemployed,16,Good,0.41863962,60697,2,Trevorland,FL,Taiwan,3,1,Low
34,Female,76884,609,27717,Auto,Unemployed,10,Good,0.177859298,140482,3,Martinezberg,CT,Costa Rica,4,0,Medium
45,Male,104271,629,33026,Home,Employed,9,Fair,0.153385914,25755,0,Yorkport,GU,Oman,,2,Medium
24,Male,69094,651,19062,Business,Employed,5,Poor,0.199254458,91058,2,Whiteshire,MN,Fiji,4,1,High
41,Non-binary,95017,665,22057,Personal,Self-employed,9,Good,0.59647666,85121,2,South Annafurt,MH,Kuwait,4,2,Medium
19,Female,56479,764,20437,Personal,Unemployed,14,Excellent,0.239385494,44343,0,West Cathystad,OK,Brazil,1,0,High
37,Female,95419,788,11524,Home,Employed,9,Excellent,0.276243633,174947,,Bensonville,NC,Germany,4,0,Low
35,Female,99214,621,12489,Personal,Employed,12,Excellent,0.224761346,33288,0,Aaronshire,MA,Jordan,1,2,Low
24,Male,39465,779,37795,Home,Self-employed,13,Fair,0.533048229,284391,2,West Andrew,AZ,Dominica,3,0,High
67,Male,94855,649,20459,Home,Self-employed,17,Excellent,0.386377232,130816,0,Vargastown,MS,Grenada,3,2,Low
31,Male,66716,758,36656,Home,Unemployed,12,Good,0.295325963,48152,4,Lake Shelly,PR,Oman,3,2,Medium
32,Non-binary,119233,772,37983,Auto,Self-employed,8,Excellent,0.282198549,54509,1,Sabrinashire,CT,Nauru,,1,Medium
62,Female,100383,766,33274,Auto,Employed,18,Excellent,0.385499633,235047,0,Port Anthonymouth,SC,Gambia,0,0,Low
66,Male,78194,668,46144,Auto,Self-employed,4,Fair,0.537355513,226741,1,Lake Kevinville,MN,Antarctica (the territory South of 60 deg S),,1,Low
30,Non-binary,70877,611,27963,Home,Employed,9,Fair,0.203868442,270060,2,South Patrick,PW,Kazakhstan,2,1,Low
29,Female,86760,658,34922,Business,Employed,11,Good,0.210108576,289349,0,West Greg,SD,France,,1,Medium
26,Non-binary,79886,674,33651,Business,Unemployed,4,Excellent,0.115823846,61958,0,North Andrew,GU,Lebanon,1,1,Low
52,Non-binary,102297,773,39139,Home,Self-employed,15,Fair,0.336015785,246920,1,Lake Jameston,PR,Cocos (Keeling) Islands,4,2,Low
53,Female,28108,730,9566,Business,Employed,19,Excellent,0.432215248,267871,1,South Johnville,NM,Nicaragua,3,1,Low
39,Female,107089,608,46104,Auto,Self-employed,3,Fair,0.584847373,24466,3,Milesfort,NY,Malawi,2,1,Medium
49,Male,86714,712,40229,Personal,Unemployed,7,Fair,0.568668295,66960,4,Angelachester,UT,Vietnam,0,0,Low
63,Male,51419,727,24432,Home,Self-employed,16,Excellent,0.332220895,103284,2,Bakermouth,WA,Finland,3,1,Medium
56,Female,86046,766,49003,Home,Unemployed,10,Fair,0.307452612,196150,1,Port Jacob,LA,New Zealand,4,2,Low
43,Female,108052,708,18521,Auto,Employed,5,Good,0.442489308,56951,,West Vincent,PW,Macao,3,0,Medium
39,Non-binary,49039,772,9227,Home,Self-employed,3,Excellent,0.484047442,95660,2,Ashleyville,TX,Isle of Man,3,2,Medium
61,Non-binary,59159,682,22072,Personal,Employed,14,Excellent,0.45444032,132331,4,Levineside,IA,Maldives,3,1,Low
32,Male,53799,723,5547,Home,Self-employed,11,Excellent,0.185253102,57006,3,New Jeffreyberg,NH,Niue,2,1,Low
25,Female,32644,795,18365,Personal,Self-employed,13,Poor,0.123499346,142145,4,Brandonview,GA,Zambia,2,0,Low
67,Male,95205,706,32168,Personal,Employed,4,Poor,0.141328202,161221,4,Jasonville,TN,Marshall Islands,1,2,Low
58,Female,94732,617,20999,Personal,Employed,17,Fair,0.492424186,52663,0,Ralphton,GU,Niue,0,2,Medium
42,Non-binary,80663,692,27106,Business,Self-employed,6,Fair,0.178335938,132634,1,Lake Jonathan,SC,South Georgia and the South Sandwich Islands,1,0,Medium
34,Female,107385,725,41751,Auto,Unemployed,7,Fair,0.429389009,143236,3,New Ryan,SD,Denmark,0,2,Low
54,Male,64397,745,17138,Home,Self-employed,13,Fair,0.288480778,186922,4,New Janeborough,CO,Burundi,,2,Low
42,Male,110666,764,31162,Business,Employed,4,Excellent,0.486572226,270493,,Bullockchester,PR,Benin,4,0,Low
43,Non-binary,97000,735,8062,Personal,Unemployed,9,Excellent,0.113730889,72202,4,Shaunberg,WI,Saint Lucia,3,2,Low
48,Non-binary,79395,724,17699,Personal,Self-employed,17,Poor,0.373243887,25039,2,Pearsonstad,MO,Malawi,,1,Low
48,Male,102799,686,5977,Home,Self-employed,16,Excellent,0.427893537,87738,4,South Christina,MO,Malawi,0,0,Low
64,Non-binary,87982,643,30416,Auto,Unemployed,17,Fair,0.495145863,149176,1,North Cynthiashire,MI,Bouvet Island (Bouvetoya),4,2,Low
59,Male,70606,612,33264,Home,Self-employed,6,Poor,0.578911219,67897,2,North Ericafort,PR,Antarctica (the territory South of 60 deg S),4,1,Low
56,Non-binary,101981,715,44642,Business,Self-employed,1,Excellent,0.310913805,111455,1,South Andrea,CA,Jersey,0,1,Low
59,Female,117383,749,8501,Business,Unemployed,13,Poor,0.114702657,248336,1,Derekfurt,IA,Estonia,2,1,Medium
49,Female,118993,709,40512,Home,Unemployed,18,Excellent,0.371125475,193007,1,South Robertland,MD,Syrian Arab Republic,4,2,Low
44,Female,109294,628,31524,Auto,Self-employed,17,Excellent,0.584047317,128173,4,South Carrieborough,WI,Qatar,1,0,Medium
33,Female,45412,681,25287,Personal,Self-employed,4,Poor,0.129192932,132590,2,Jasonmouth,GA,Bermuda,4,1,Low
65,Male,92024,780,13451,Home,Unemployed,17,Fair,0.544445768,70816,1,Jeffreyland,UT,Saint Martin,0,1,High
25,Female,83226,626,7938,Home,Unemployed,3,Excellent,0.506534151,151383,1,Jesseton,OH,Netherlands Antilles,3,1,Low
67,Female,109125,794,27698,Business,Employed,3,Fair,0.162063225,90156,1,Port Zachary,VT,Ethiopia,4,2,Medium
41,Male,40765,747,5159,Business,Self-employed,14,Fair,0.149366141,168951,,Scottborough,NE,United States of America,2,2,Low
55,Female,65752,738,22517,Auto,Employed,6,Good,0.576406405,44981,2,Lake Denisefurt,OH,Central African Republic,1,0,Low
35,Male,87224,767,13787,Personal,Employed,8,Poor,0.570714969,196178,0,East Andres,WI,Tuvalu,2,1,Medium
59,Non-binary,63969,653,19033,Business,Unemployed,16,Good,0.57513753,196850,,Wolfland,PR,Saint Helena,2,2,Medium
19,Male,82740,710,32004,Auto,Self-employed,16,Excellent,0.426535546,236134,1,Mendozaville,MH,Chile,3,1,High
40,Female,30605,739,17180,Personal,Employed,0,Poor,0.278044857,225526,0,South Shaunburgh,PR,Benin,2,1,High
18,Female,62801,681,19517,Personal,Unemployed,6,Good,0.545693212,143368,1,Davistown,NV,Argentina,,1,Low
28,Non-binary,74913,719,16568,Auto,Self-employed,3,Good,0.375810386,285428,,Lake Deniseside,MT,Guatemala,3,2,Low
30,Non-binary,102938,674,13545,Home,Employed,1,Poor,0.206589773,147545,1,East Bradley,WY,Turkmenistan,,1,Low
59,Male,70701,740,5500,Personal,Unemployed,1,Good,0.450231293,152355,2,New Jerry,VA,North Macedonia,2,2,Low
37,Female,74289,666,37775,Auto,Employed,17,Excellent,0.507451276,135667,,Brucechester,GA,Hungary,0,1,Medium
19,Non-binary,54723,685,21004,Auto,Self-employed,15,Fair,0.431024127,228303,4,West Kimberlyfort,NY,Costa Rica,1,1,Low
61,Female,30247,631,13190,Business,Self-employed,4,Good,0.309750453,58272,3,West Georgeberg,TX,Jordan,0,1,Low
45,Non-binary,85563,649,12811,Business,Self-employed,1,Poor,0.543602611,124873,1,West Carl,GA,Thailand,2,0,Low
37,Non-binary,51419,717,35612,Auto,Unemployed,19,Excellent,0.299157796,39433,4,Blackstad,SC,United States of America,3,0,Low
20,Male,38996,656,38243,Home,Unemployed,11,Good,0.12864701,49802,1,Lake Melanieport,PA,Bermuda,2,2,Low
37,Male,57321,750,41540,Business,Self-employed,7,Good,0.327505627,157508,4,Reneeview,TX,Armenia,,0,Low
26,Non-binary,106805,782,11115,Business,Unemployed,10,Poor,0.152621706,245546,4,Barnesview,MA,Palau,1,0,Low
37,Male,104326,609,41215,Business,Self-employed,14,Fair,0.494374583,27903,3,Paulmouth,IL,French Polynesia,3,1,Low
65,Female,49696,769,18990,Auto,Employed,19,Good,0.375857639,69191,2,Brendantown,RI,Sudan,4,1,Low
68,Male,72443,638,49412,Personal,Unemployed,4,Fair,0.538864728,107685,1,New David,VT,American Samoa,2,2,Medium
30,Female,115585,682,41994,Business,Employed,14,Poor,0.40600961,71128,,North Markfurt,NE,Romania,1,1,Medium
41,Female,56230,627,22597,Personal,Unemployed,5,Good,0.468282717,171542,1,Cochranland,CO,Eritrea,0,1,Low
41,Female,78204,633,11901,Personal,Employed,4,Excellent,0.454061102,148810,3,Port Jason,MD,Kyrgyz Republic,3,1,Low
40,Non-binary,67731,721,32073,Personal,Unemployed,16,Good,0.205937331,177476,4,Lewismouth,FL,Venezuela,0,0,Medium
61,Non-binary,87667,779,21989,Personal,Employed,11,Poor,0.48976788,71230,2,Katherinestad,NH,Denmark,,1,High
54,Non-binary,81797,792,35312,Business,Employed,5,Excellent,0.288118118,127883,,Nelsonfurt,NC,Tajikistan,4,0,Medium
54,Non-binary,103533,668,31011,Personal,Unemployed,3,Excellent,0.380080644,265493,4,Johnstonshire,NH,El Salvador,1,1,Low
62,Male,114542,796,20094,Home,Employed,3,Fair,0.558052178,129210,2,Whitebury,DC,Slovakia (Slovak Republic),1,0,Low
35,Male,33785,611,46042,Auto,Employed,2,Excellent,0.395873716,122524,,Lake Casey,MT,Philippines,0,2,Low
30,Male,29669,714,8527,Auto,Self-employed,0,Good,0.526737267,255757,0,Erikstad,CT,Isle of Man,3,2,Medium
28,Male,82969,754,34094,Auto,Self-employed,8,Good,0.190767234,187271,1,Codybury,PW,Trinidad and Tobago,1,1,Low
42,Male,23497,773,30838,Business,Employed,19,Good,0.586790306,215305,1,West Devinfurt,PR,Senegal,3,2,Low
44,Non-binary,78070,714,26773,Auto,Unemployed,13,Poor,0.266624165,240149,3,West Nicolechester,MD,Ireland,0,1,Low
54,Non-binary,62690,664,46593,Business,Unemployed,19,Excellent,0.362606671,112184,,Lake Williamport,VA,Estonia,4,1,Low
50,Male,91060,681,5710,Home,Employed,1,Good,0.352746252,242415,4,East Nicholasmouth,AZ,Palestinian Territory,3,2,Medium
62,Male,88843,603,13549,Business,Employed,11,Poor,0.21213714,21568,1,Port Anthonyport,NY,Iraq,2,0,Low
42,Male,106991,613,6023,Auto,Employed,7,Poor,0.465394706,85077,1,New Ronald,NJ,India,,1,Medium
49,Female,23134,709,31278,Personal,Unemployed,19,Excellent,0.359901183,151521,3,New Pamela,VI,Slovenia,,2,Low
49,Female,112449,782,5126,Auto,Employed,14,Good,0.541115639,267109,,Lake Robertbury,MS,Maldives,1,2,Low
21,Male,23878,723,26430,Personal,Employed,14,Poor,0.144947474,277799,0,Port Timothy,OH,Tanzania,4,0,Low
48,Female,62967,659,5078,Home,Self-employed,0,Fair,0.346889016,213905,0,Christinestad,RI,Northern Mariana Islands,1,1,Medium
46,Non-binary,53050,754,43270,Home,Employed,13,Fair,0.22065378,296770,0,Jeremyton,WI,Montenegro,3,2,Low
42,Male,90390,639,35894,Business,Self-employed,8,Excellent,0.371628053,20383,2,Bennettmouth,TX,Rwanda,,0,Medium
37,Male,61477,680,32472,Auto,Unemployed,9,Fair,0.254645988,269984,3,Ramirezview,PW,Cape Verde,1,2,Low
59,Female,102071,676,20558,Personal,Employed,7,Poor,0.333569169,206293,,Justinshire,KY,Sierra Leone,0,0,Medium
52,Male,63388,769,16218,Auto,Employed,10,Excellent,0.136815136,23236,3,Amandatown,NE,Benin,2,2,Medium
67,Female,33919,709,45702,Personal,Unemployed,8,Good,0.412695315,156758,0,East Brianna,VI,Canada,2,2,Low
18,Female,30133,779,47360,Personal,Employed,2,Excellent,0.28455107,162588,4,Lake Joshua,ND,Cook Islands,3,2,Medium
54,Non-binary,71586,633,43856,Home,Self-employed,4,Excellent,0.446888836,208959,,New Brian,MN,Iraq,3,1,Medium
20,Male,83332,702,25333,Personal,Unemployed,5,Good,0.277796791,130628,0,Hawkinston,ID,Argentina,1,1,Low
20,Male,52682,778,18971,Business,Employed,0,Poor,0.144824152,205687,4,South Jose,IA,Rwanda,2,0,Medium
57,Female,70998,672,22871,Personal,Self-employed,1,Excellent,0.23525644,195231,2,Stokesmouth,KS,Zambia,2,2,Low
34,Non-binary,42505,742,41678,Auto,Employed,3,Fair,0.436884711,130007,0,North Rachel,ND,Vanuatu,0,1,Low
42,Male,104218,669,43548,Personal,Self-employed,9,Fair,0.589126107,281773,3,Saundersborough,NV,Belgium,0,0,Low
27,Female,108061,725,41202,Personal,Self-employed,8,Good,0.488974314,250497,0,Sanchezfort,MP,New Caledonia,3,2,Medium
36,Female,35701,741,24596,Business,Employed,9,Poor,0.168708923,93732,1,Millershire,MI,Mauritius,4,2,Low
32,Male,75361,712,38289,Home,Self-employed,16,Good,0.447330125,113444,,Michelefort,IL,Pitcairn Islands,1,1,Low
36,Non-binary,54555,663,28927,Home,Self-employed,4,Fair,0.330742038,76882,,East Keith,GA,Mauritius,4,2,Low
19,Non-binary,70998,784,40894,Personal,Self-employed,5,Poor,0.226081432,108836,4,Craneborough,WV,Northern Mariana Islands,1,1,Low
61,Non-binary,48247,745,32341,Auto,Unemployed,9,Poor,0.595808036,154402,0,Port Danielberg,HI,Micronesia,1,2,Medium
43,Non-binary,77940,770,29333,Home,Self-employed,13,Good,0.296864285,125554,1,Hayleyshire,HI,Tonga,0,1,Medium
54,Male,39504,689,10062,Home,Employed,13,Good,0.574087808,37110,4,South Reginachester,NV,Andorra,4,2,Low
26,Male,56656,660,39226,Personal,Employed,10,Excellent,0.533426329,76762,1,New Sarah,PW,Syrian Arab Republic,2,0,High
28,Non-binary,96190,755,32809,Home,Employed,11,Good,0.166459677,89583,1,Foleyburgh,VA,Congo,4,0,Low
37,Non-binary,106479,738,33055,Business,Self-employed,4,Poor,0.16664519,204299,,Rosston,MI,Azerbaijan,,2,Low
59,Non-binary,108713,702,32577,Home,Self-employed,7,Good,0.527100947,60231,2,Wolfmouth,ID,Costa Rica,4,0,Medium
40,Female,60426,720,40340,Business,Employed,9,Excellent,0.202928189,145774,0,Josephview,CO,Montenegro,3,2,Low
35,Male,119027,715,26402,Auto,Unemployed,11,Excellent,0.553803867,68789,1,Lake Mark,CA,Algeria,0,1,Low
28,Female,77784,632,49247,Business,Self-employed,6,Fair,0.172163646,38304,4,South Georgeview,KY,Svalbard & Jan Mayen Islands,0,0,Low
23,Male,44067,666,48945,Home,Unemployed,7,Excellent,0.307662949,97306,1,Lake Jesse,MN,British Indian Ocean Territory (Chagos Archipelago),3,1,Low
58,Male,59909,764,8497,Home,Self-employed,11,Excellent,0.154283197,242875,0,Samanthastad,MI,Mexico,2,0,Low
56,Female,82661,773,28057,Business,Unemployed,1,Good,0.412307471,211913,0,South Reginafort,OH,Mauritania,4,1,Medium
43,Female,54626,784,11867,Business,Unemployed,16,Good,0.537764325,99497,4,Port Michelle,NE,Bermuda,0,2,Low
21,Female,63826,703,8679,Business,Unemployed,8,Good,0.258967298,298601,1,New Deannashire,VT,Palau,,2,Low
50,Male,107812,683,36171,Business,Unemployed,6,Excellent,0.439705306,259520,3,Christopherchester,MT,Lesotho,2,2,Low
57,Female,22736,714,36004,Personal,Self-employed,5,Poor,0.249353635,142545,0,Amberhaven,GU,Angola,,1,Medium
23,Non-binary,76473,684,16184,Personal,Employed,8,Excellent,0.284643672,75261,0,Newmanborough,NY,Iceland,,2,Medium
60,Male,88019,613,29153,Auto,Unemployed,3,Good,0.113433301,232055,0,Armstrongtown,WV,Ethiopia,4,2,Low
62,Non-binary,36217,755,6758,Business,Employed,6,Good,0.480231019,206294,4,Cynthiafurt,WA,Niger,1,0,Medium
22,Male,63199,666,15827,Auto,Employed,2,Good,0.384004767,176311,0,Braunhaven,GA,Sierra Leone,1,0,Low
61,Female,102189,765,38418,Auto,Unemployed,17,Good,0.471768038,183846,4,Michelleview,GA,Somalia,1,1,Medium
55,Non-binary,39727,710,29757,Personal,Employed,16,Good,0.57412331,63439,1,New Craig,MI,Cocos (Keeling) Islands,4,0,Low
